priority,site,page_id,page_family,canonical_candidate,primary_query,query_2,query_3,truth_score,quality_score,provenance_score,current_state,reason_for_priority
251,fixcode,fix:bosch:dishwasher:e15,error-code,/fixcode/bosch/dishwasher/e15-error,bosch e15 error,bosch dishwasher e15,bosch error code e15,100,68,100,SEO_CANDIDATE,already SEO_CANDIDATE after Truth Gate; FixCode error-code (highest leverage); known brand with existing provenance; actionable diagnostic; not a near-duplicate
251,fixcode,fix:bosch:dishwasher:e24,error-code,/fixcode/bosch/dishwasher/e24-error,bosch e24 error,bosch dishwasher e24,bosch error code e24,100,68,100,SEO_CANDIDATE,already SEO_CANDIDATE after Truth Gate; FixCode error-code (highest leverage); known brand with existing provenance; actionable diagnostic; not a near-duplicate
251,fixcode,fix:bosch:dishwasher:e25,error-code,/fixcode/bosch/dishwasher/e25-error,bosch e25 error,bosch dishwasher e25,bosch error code e25,100,68,100,SEO_CANDIDATE,already SEO_CANDIDATE after Truth Gate; FixCode error-code (highest leverage); known brand with existing provenance; actionable diagnostic; not a near-duplicate
251,fixcode,fix:bosch:washer:e18,error-code,/fixcode/bosch/washer/e18-error,bosch e18 error,bosch washer e18,bosch error code e18,100,68,100,SEO_CANDIDATE,already SEO_CANDIDATE after Truth Gate; FixCode error-code (highest leverage); known brand with existing provenance; actionable diagnostic; not a near-duplicate
251,fixcode,fix:miele:washer:f70,error-code,/fixcode/miele/washer/f70-error,miele f70 error,miele washer f70,miele error code f70,100,68,100,SEO_CANDIDATE,already SEO_CANDIDATE after Truth Gate; FixCode error-code (highest leverage); known brand with existing provenance; actionable diagnostic; not a near-duplicate
251,fixcode,fix:bosch:dishwasher:e09,error-code,/fixcode/bosch/dishwasher/e09-error,bosch e09 error,bosch dishwasher e09,bosch error code e09,100,68,100,SEO_CANDIDATE,already SEO_CANDIDATE after Truth Gate; FixCode error-code (highest leverage); known brand with existing provenance; actionable diagnostic; not a near-duplicate
251,fixcode,fix:bosch:dishwasher:e14,error-code,/fixcode/bosch/dishwasher/e14-error,bosch e14 error,bosch dishwasher e14,bosch error code e14,100,68,100,SEO_CANDIDATE,already SEO_CANDIDATE after Truth Gate; FixCode error-code (highest leverage); known brand with existing provenance; actionable diagnostic; not a near-duplicate
251,fixcode,fix:bosch:dishwasher:e22,error-code,/fixcode/bosch/dishwasher/e22-error,bosch e22 error,bosch dishwasher e22,bosch error code e22,100,68,100,SEO_CANDIDATE,already SEO_CANDIDATE after Truth Gate; FixCode error-code (highest leverage); known brand with existing provenance; actionable diagnostic; not a near-duplicate
251,fixcode,fix:bosch:dishwasher:e01,error-code,/fixcode/bosch/dishwasher/e01-error,bosch e01 error,bosch dishwasher e01,bosch error code e01,100,68,100,SEO_CANDIDATE,already SEO_CANDIDATE after Truth Gate; FixCode error-code (highest leverage); known brand with existing provenance; actionable diagnostic; not a near-duplicate
251,fixcode,fix:bosch:dishwasher:e02,error-code,/fixcode/bosch/dishwasher/e02-error,bosch e02 error,bosch dishwasher e02,bosch error code e02,100,68,100,SEO_CANDIDATE,already SEO_CANDIDATE after Truth Gate; FixCode error-code (highest leverage); known brand with existing provenance; actionable diagnostic; not a near-duplicate
251,fixcode,fix:bosch:dishwasher:e04,error-code,/fixcode/bosch/dishwasher/e04-error,bosch e04 error,bosch dishwasher e04,bosch error code e04,100,68,100,SEO_CANDIDATE,already SEO_CANDIDATE after Truth Gate; FixCode error-code (highest leverage); known brand with existing provenance; actionable diagnostic; not a near-duplicate
251,fixcode,fix:bosch:dishwasher:e06,error-code,/fixcode/bosch/dishwasher/e06-error,bosch e06 error,bosch dishwasher e06,bosch error code e06,100,68,100,SEO_CANDIDATE,already SEO_CANDIDATE after Truth Gate; FixCode error-code (highest leverage); known brand with existing provenance; actionable diagnostic; not a near-duplicate
251,fixcode,fix:bosch:dishwasher:e07,error-code,/fixcode/bosch/dishwasher/e07-error,bosch e07 error,bosch dishwasher e07,bosch error code e07,100,68,100,SEO_CANDIDATE,already SEO_CANDIDATE after Truth Gate; FixCode error-code (highest leverage); known brand with existing provenance; actionable diagnostic; not a near-duplicate
251,fixcode,fix:bosch:dishwasher:e08,error-code,/fixcode/bosch/dishwasher/e08-error,bosch e08 error,bosch dishwasher e08,bosch error code e08,100,68,100,SEO_CANDIDATE,already SEO_CANDIDATE after Truth Gate; FixCode error-code (highest leverage); known brand with existing provenance; actionable diagnostic; not a near-duplicate
